"Gene","ProbeId","EntrezId"
"PSMA3",5720327,5684
"GABPB1",3830326,2553
"PPOX",3120609,5498
"YTHDF3",4150240,253943
"GLS2",3800035,27165
"SYTL2",6760037,54843
"ZNF23",2470446,7571
"LOC648622",4050377,648622
"AGR3",4590594,155465
"MSH6",870148,2956
"PRKCB1",2190411,5579
"LOC650346",7050524,650346
"HS.569542",5810240,NA
"KRTAP13-1",4900739,140258
"FLJ32255",5670682,643977
"TRAF3IP2",6940435,10758
"TXN",4290543,7295
"EXOD1",7100059,112479
"LOC388524",4250750,388524
"ZNF207",1660632,7756
"STAG2",2450100,10735
"MLLT10",3890170,8028
"TPM1",1010482,7168
"C9ORF6",4490348,54942
"LCMT1",2810669,51451
"GLS",5570427,2744
"CYORF14",7150066,55410
"C18ORF18",4180168,147525
"C15ORF57",5570575,90416
"IGSF2",1400369,9398
"VPS36",1510091,51028
"LILRA5",2470162,353514
"ARNTL",7150519,406
"LOC646561",3440215,646561
"GRB10",2810615,2887
"PTBP1",6060332,5725
"PLA2G16",1110332,11145
"OBFC2B",270196,79035
"FAM193A",610091,8603
"HS.390542",610484,NA
"LOC645173",2120703,645173
"HTATIP2",4670575,10553
"PUS1",1090669,80324
"INO80",3400148,54617
"ENOSF1",2710358,55556
"LOC653297",5670563,653297
"PDE6A",3130113,5145
"BRWD1",4200482,54014
"FGF20",4730437,26281
"LOC100129267",5270551,100129267
"PHYHD1",2970114,254295
"DLGAP4",5810008,22839
"HBBP1",6330184,3044
"CDC34",1710278,997
"SMPDL3B",4390221,27293
"LOC648927",3870192,648927
"LOC100132896",5890017,100132896
"LOC727918",2760682,727918
"LOC100128525",7210474,100128525
"FOSL1",6960332,8061
"GFOD2",2970050,81577
"BBX",2370703,56987
"MYOM3",1740349,127294
"FLJ22531",2480682,79703
"AYP1P1",5310673,386608
"LOC649555",2680102,649555
"CAMP",5860075,820
"ARHGAP9",110180,64333
"SULT1A1",990669,6817
"LOC728093",3390097,728093
"FANCC",2190047,2176
"LOC730744",6220327,730744
"LTBP3",3360348,4054
"CHST14",2630369,113189
"CD276",6100390,80381
"C1QL2",7210041,165257
"DOK2",6220538,9046
"DDR1",3710196,780
"LOC644019",3140484,644019
"ROBO1",3710156,6091
"C1ORF133",1090653,574036
"HS.555181",4280040,NA
"LOC100129268",1500092,100129268
"HS.539385",780026,NA
"GBP1",6840035,2633
"SULT1A1",7510711,6817
"HIST4H4",4180360,121504
"LOC220729",5260543,220729
"KIAA1245",1940682,149013
"CNOT6",4560139,57472
"TBC1D9B",7550411,23061
"GUCA1A",4230139,2978
"CYTSA",6020209,23384
"AKT1",6200431,207
"LOC100128077",730280,100128077
"TAGLN2",4070736,8407
"ROMO1",620538,140823
"PEX5L",4560068,51555
"LOC440926",2360136,440926
"GLE1",3390437,2733
"CMAH",4250634,8418
"LOC643935",290634,643935
"LOC100131187",2970333,100131187
"JMJD2A",670392,9682
"BFSP2",2690152,8419
"HS.559709",1710608,NA
