"Gene","ILLUMINA_PROBE_ID","EntrezId"
"C9ORF3",160307,84909
"TSSC4",160309,10078
"LOC100130171",160324,100130171
"PSIP1",160332,11168
"C6ORF192",160333,116843
"C16ORF13",160358,84326
"ZNF282",160364,8427
"SEMA6B",160368,10501
"TPM2",160370,7169
"HS.102428",160372,NA
"B3GALNT2",160376,148789
"SFRS13A",160386,10772
"CARS2",160403,79587
"NCOA1",160411,8648
"LOC100130982",160431,100130982
"BRI3BP",160437,140707
"LOC643389",160440,643389
"RGS5",160445,8490
"HMBOX1",160446,79618
"LOC647123",160451,647123
"LMX1A",160458,4009
"TCEAL8",160474,90843
"AQP9",160494,366
"HS.333785",160497,NA
"LOC728537",160504,728537
"PAQR5",160521,54852
"LOC644516",160523,644516
"CCDC121",160544,79635
"EHMT1",160546,79813
"ARHGAP17",160561,55114
"LOC644029",160575,644029
"LOC442501",160576,442501
"C21ORF45",160593,54069
"PURA",160608,5813
"MGLL",160612,11343
"PLOD3",160630,8985
"EBAG9",160639,9166
"TCF7",160672,6932
"RHOH",160674,399
"AGTR1",160682,185
"HS.529743",160706,NA
"PTPRB",160711,5787
"MRI1",160736,84245
"APRT",160746,353
"EDG1",160754,1901
"LOC100129484",160767,100129484
"LOC729770",240010,729770
"HS.333185",240014,NA
"CNPY3",240025,10695
"RUNDC3B",240035,154661
"KCNK4",240037,50801
"PARP8",240040,79668
"GCH1",240053,2643
"HS.577926",240079,NA
"PHGDH",240086,26227
"LOC642892",240088,642892
"CWF19L1",240097,55280
"RABEP1",240110,9135
"FMNL1",240121,752
"LOC644098",240129,644098
"ZNF627",240132,199692
"DKFZP667M2411",240133,147172
"AIPL1",240142,23746
"RRP1",240154,8568
"HS.566539",240161,NA
"CHR415SYT",240167,401135
"MMP17",240181,4326
"HS.551942",240189,NA
"LOC151457",240204,151457
"HS.367445",240215,NA
"M160",240220,283316
"DLGAP5",240221,9787
"ZBTB7A",240239,51341
"HS.566930",240253,NA
"LOC100133459",240278,100133459
"PREI3",240288,25843
"LOC100131265",240292,100131265
"ETS1",240333,2113
"SHQ1",240358,55164
"HS.568870",240372,NA
"LOC100132439",240386,100132439
"LOC100133178",240398,100133178
"PMEPA1",240400,56937
"HS.461694",240403,NA
"ZNF658B",240408,401509
"HS.547201",240411,NA
"SETD3",240445,84193
"BPTF",240450,2186
"LOC441191",240463,441191
"NHEDC2",240477,133308
"SH3BP5L",240487,80851
"TCF7",240494,6932
"TMEM166",240523,84141
"SCAND1",240546,51282
"PGLYRP2",240601,114770
"TP53I11",240608,9537
"HS.568712",240609,NA
"LOC642269",240619,642269
"LOC100132494",240626,100132494
"TM6SF1",240653,53346
"LAS1L",240661,81887
"SSTR1",240669,6751
"HS.545236",240670,NA
"ADAMTS7",240673,11173
"DDX3X",240674,1654
"ANKRD37",240682,353322
"LOC652281",240707,652281
"OAS2",240722,4939
"PAIP2",240725,51247
"C20ORF56",240735,140828
"TSPAN6",240736,7105
"GALNTL1",240746,57452
"TELO2",240750,9894
"LOC100130905",240754,100130905
"CORO2A",240768,7464
"GOSR1",270019,9527
"MRPL3",270025,11222
"HM13",270039,81502
"SPATS2",270044,65244
"HS.197018",270048,NA
"ZNF138",270066,7697
"LOC374920",270091,374920
"HS.121380",270102,NA
"LOC648200",270110,648200
"TMEM8",270129,58986
"C1ORF128",270133,57095
"LOC644010",270148,644010
"SLC7A5",270152,8140
"HS.538602",270154,NA
"UBE2N",270156,7334
"HLA-DRA",270168,3122
"ZNF230",270187,7773
"OBFC2B",270196,79035
"RFNG",270204,5986
"LOC100132402",270220,100132402
"MOAP1",270224,64112
"ZNF311",270228,282890
"SLC26A8",270240,116369
"NUDT1",270259,4521
"ACTR8",270278,93973
"CCAR1",270291,55749
"AKR7A3",270300,22977
"SLC12A5",270301,57468
"CRNKL1",270309,51340
"LOC100129272",270324,100129272
"TMEM135",270328,65084
"CYP20A1",270332,57404
"LOC393076",270333,393076
"TRAT1",270338,50852
"AP4E1",270343,23431
"GBAS",270376,2631
"LOC642458",270390,642458
"TTC14",270403,151613
"FAM156A",270414,29057
"BAALC",270431,79870
"ACTN4",270437,81
"VPS41",270452,27072
"SH2D3C",270487,10044
"P15RS",270524,55197
"LOC100129559",270528,100129559
"SORBS3",270543,10174
"PIP4K2B",270546,8396
"NPW",270563,283869
"HS.170534",270577,NA
"GPER",270593,2852
"STRA13",270605,201254
"HS.282993",270608,NA
"ANXA2P1",270609,303
"AIFM2",270612,84883
"ABCC3",270615,8714
"LOC653715",270626,653715
"AQP7P2",270647,389756
"C15ORF21",270672,283651
"DNAL4",270678,10126
"LOC730134",270682,730134
"LOC100129677",270707,100129677
"LOC100127894",270722,100127894
"TRABD",270736,80305
"AMZ2",270739,51321
"SYNPO2",270743,171024
"SLC25A16",270746,8034
"MUTYH",290026,4595
"C11ORF59",290035,55004
"DGCR8",290053,54487
"HS.571831",290059,NA
"LOC647322",290093,647322
