Infected,MuseumNumber,Province,Locality,Family,Species,Diet,Sex,Age,TesticlePosition,Epididymis,MammaeCondition,Vagina
-,FMNH 218108,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Partially descended,Convoluted,-,-
-,FMNH 218109,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218110,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Partially descended,Convoluted,-,-
-,FMNH 218111,Toliara,KIR1,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Partially descended,Convoluted,-,-
-,FMNH 218112,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
+,FMNH 218113,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
+,FMNH 218114,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218115,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
+,UADBA 50230,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 50231,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50232,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50233,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 218116,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218117,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218118,Toliara,ANTAN,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218119,Toliara,TSMIF,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218121,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,FMNH 218122,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
+,FMNH 218123,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
+,FMNH 218124,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
+,FMNH 218125,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 218126,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,FMNH 218127,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
+,FMNH 218128,Toliara,TSMIF,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
+,FMNH 218120,Toliara,TSMIF,Molossidae,Chaerephon leucogaster,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50234,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Scrotal,Not convoluted,-,-
-,UADBA 50235,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 50236,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Sub-adult,-,-,Small,-
-,UADBA 50237,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Large,Perforated
+,UADBA 50238,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
+,UADBA 50239,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50240,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50241,Toliara,MARFA,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
+,FMNH 218129,Toliara,KIR2,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,FMNH 218130,Toliara,KIR2,Vespertilionidae,Pipistrellus raceyi,Insectivorous,Male,Adult,Scrotal,Convoluted,-,-
-,FMNH 218131,Toliara,KIR2,Vespertilionidae,Hypsugo bemainty,Insectivorous,Male,Adult,Abdominal,Partially convoluted,-,-
-,UADBA 50175,Toliara,KIR2,Vespertilionidae,Hypsugo bemainty,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 218132,Toliara,KIR2,Vespertilionidae,Pipistrellus hesperidus,Insectivorous,Female,Adult,-,-,-,-
-,FMNH 218133,Toliara,KIR2,Vespertilionidae,Pipistrellus raceyi,Insectivorous,Female,Adult,-,-,Small,-
-,UADBA 50265,Toliara,MRFTT,Molossidae,Mops midas,Insectivorous,Male,Adult,Abdominal,Not convoluted,-,-
-,UADBA 50266,Toliara,MRFTT,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 218134,Toliara,MRFTT,Molossidae,Mops midas,Insectivorous,Female,Adult,-,-,Large,Perforated
-,FMNH 218135,Toliara,MRFTT,Molossidae,Mops midas,Insectivorous,Male,Adult,Partially descended,Not convoluted,-,-
-,FMNH 218136,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,UADBA 50242,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218137,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,UADBA 50243,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Sub-adult,Abdominal,Not convoluted,-,-
-,FMNH 218138,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
-,FMNH 218139,Toliara,MRFTT,Molossidae,Mops leucostigma,Insectivorous,Male,Adult,Partially descended,Partially convoluted,-,-
